cluster_id,n_detections,centroid_lat,centroid_lon,lat_min,lat_max,lon_min,lon_max,avg_confidence,max_frp,avg_frp,first_date,last_date,province,regency,extent_lat_km,extent_lon_km
292,40,-2.9341599936344887,115.23820094751675,-2.9464694442410444,-2.919489826473251,115.22975157104011,115.24628755211438,1.0,4.96999979019165,2.3022500038146974,2026-08-13,2026-08-13,South Kalimantan,Tapin,2.9982449225348615,1.83523445536899
274,39,-3.1432822969317424,112.82019956084162,-3.152189029720469,-3.1353267686155983,112.80496391031859,112.83681982644298,1.0,9.75,5.815641060853616,2026-08-13,2026-08-13,Central Kalimantan,Seruyan,1.8739030765842883,3.5348219241092536
49,38,2.5954457909887556,115.87947158888815,2.584352198156604,2.6045869114824485,115.8673457872443,115.89221511991576,1.0,29.649999618530273,20.428947084828426,2026-08-13,2026-08-13,North Kalimantan,Malinau,2.2486836919010966,2.7608938302287904
293,38,-2.994571262761255,115.0609368774331,-3.0105460364395533,-2.980193966450786,115.04485120140141,115.07808153272717,1.0,7.690000057220459,5.600000030116031,2026-08-13,2026-08-13,South Kalimantan,Tapin,3.3730255378517193,3.6878440430485915
217,38,-2.2184635082239086,113.85237165028703,-2.241626930057442,-2.1977850511847774,113.83742061311592,113.86701957403619,1.0,1.25,1.0805263315376483,2026-08-13,2026-08-13,Central Kalimantan,Kota Palangka Raya,4.872147999119199,3.2868671529116207
276,38,-2.6147266441883743,111.57164590805195,-2.6227140310275234,-2.609224222143627,111.55791953261166,111.5858268203384,1.0,4.570000171661377,2.622105261212901,2026-08-13,2026-08-13,Central Kalimantan,Kotawaringin Barat,1.4991224612674308,3.098108012578397
58,38,2.2624605085388843,118.0012812035707,2.2369896193962635,2.277459046047954,117.99315917997849,118.00975946835268,1.0,7.380000114440918,5.753421030546489,2026-08-13,2026-08-14,East Kalimantan,Berau,4.497367383802342,1.8433519861547385
40,37,2.210830327844383,116.96024715169057,2.203265097186522,2.2201273582913927,116.95499954870074,116.966453836271,1.3243243243243243,139.52999877929688,48.28513482776848,2026-08-13,2026-08-14,East Kalimantan,Berau,1.8739030765842883,1.2719674736275812
194,36,-1.275794085661782,113.6190561228072,-1.290595403742724,-1.2636157859749306,113.60465150536469,113.6395771653923,1.0,20.719999313354492,7.956666502687666,2026-08-13,2026-08-13,Central Kalimantan,Gunung Mas,2.998244922534886,3.8803264463941156
298,35,-3.0895577741880915,115.11867166858003,-3.1016022464058564,-3.0779950808590373,115.1073770095867,115.12992125958179,1.0,7.389999866485596,4.668857090813773,2026-08-13,2026-08-13,South Kalimantan,Tapin,2.6234643072180037,2.501701010860861
224,34,-1.7644249407895958,110.1350849569716,-1.769483619121057,-1.7593662624581345,110.12158715700521,110.14897855662434,1.0,4.25,2.4173529428594254,2026-08-13,2026-08-13,West Kalimantan,Ketapang,1.124341845950573,3.042562987128153
308,33,-3.74901087731105,116.15267980556743,-3.755857977274847,-3.74236816839095,116.13524443592311,116.16948901791967,1.0,32.36000061035156,13.696969975124706,2026-08-13,2026-08-13,South Kalimantan,Kota Baru,1.49912246126748,3.7974566109787196
16,32,2.9937889756092497,116.45299944532684,2.978929108010582,3.0160260824412983,116.44582771997293,116.46005003201897,1.0,13.890000343322754,8.659375116229057,2026-08-13,2026-08-13,North Kalimantan,Malinau,4.122586768485484,1.578368439983314
14,31,3.055407621279771,116.47733576989053,3.0430057002090916,3.0666128657559106,116.45979685941856,116.49576592390788,1.0,19.989999771118164,13.661613002900154,2026-08-13,2026-08-13,North Kalimantan,Malinau,2.6234643072180037,3.9915598833928025
23,31,3.0385453601748997,117.25063201387552,3.032888343546169,3.0463781524300657,117.23582488072728,117.26959691703598,1.0,52.15999984741211,28.901290309044622,2026-08-13,2026-08-13,North Kalimantan,Bulungan,1.4991224612674308,3.747809931213616
187,30,-1.9396800412062203,111.1028025488651,-1.9482235868326883,-1.9313613257278175,111.094154214519,111.11169060368617,1.0,11.25,5.602000002066294,2026-08-13,2026-08-13,Central Kalimantan,Lamandau,1.8739030765842883,1.947702283614529
161,30,-1.4555083173483612,110.1706484501669,-1.4693353714543553,-1.4356108492446136,110.15870006796816,110.18009630229609,1.0,4.880000114440918,2.713000011444092,2026-08-13,2026-08-13,West Kalimantan,Ketapang,3.7478061531686016,2.376996337057842
57,27,2.275210744567304,117.82589791318988,2.2572243327221084,2.2875764027108763,117.81173038361243,117.83845534156066,1.0,11.899999618530273,8.00222216712104,2026-08-13,2026-08-14,East Kalimantan,Berau,3.3730255378517686,2.9676032648761903
269,27,-2.8432973874067975,112.90638170411945,-2.8554132342747414,-2.8351785209488964,112.8957079262123,112.92642656792133,1.0,3.2699999809265137,1.6581481297810872,2026-08-13,2026-08-13,Central Kalimantan,Kotawaringin Timur,2.248683691901146,3.409560097146472
272,27,-3.0518898025559404,112.69414380854421,-3.0611328197541665,-3.0442705586492953,112.6872162701828,112.70178528758834,1.0,9.329999923706055,7.711110998083044,2026-08-13,2026-08-13,Central Kalimantan,Seruyan,1.8739030765843379,1.6167586428661018
